index,drybulb,damp,glohorzrad,difhorzrad,t_sky,t_ground,wind_speed
242,-6.7,1.54,0.0,0.0,249.71,-10.1,0.0
243,-7.31,1.47,0.0,0.0,249.76,-10.08,0.0
244,-7.67,1.43,0.0,0.0,249.68,-10.18,0.0
245,-7.84,1.4,0.0,0.0,249.7,-10.17,0.0
246,-7.9,1.38,0.0,0.0,250.04,-9.85,0.0
247,-7.9,1.36,0.0,0.0,250.93,-8.99,0.0
248,-5.4,1.65,40.0,28.38,252.45,-7.4,2.0
249,-2.83,1.99,137.54,97.58,254.86,-4.95,2.0
250,-1.5,2.14,91.16,91.16,257.92,-1.96,2.0
251,-0.98,2.15,119.66,119.66,261.16,1.19,2.0
252,-0.86,2.09,339.93,241.18,264.15,4.08,2.0
253,-0.71,2.06,128.17,128.17,266.45,6.32,2.0
254,-0.1,2.14,106.26,106.26,267.64,7.5,2.0
255,0.7,2.32,184.47,130.88,267.45,7.34,2.0
256,0.53,2.34,33.37,33.37,266.16,6.08,2.0
257,0.07,2.33,0.0,0.0,264.12,4.08,2.0
258,-0.55,2.26,0.0,0.0,261.67,1.69,2.0
259,-1.25,2.19,0.0,0.0,259.2,-0.72,2.0
260,-1.9,2.1,0.0,0.0,257.06,-2.8,4.0
261,-2.43,2.0,0.0,0.0,255.54,-4.27,4.0
262,-2.84,1.91,0.0,0.0,254.6,-5.18,4.0
263,-3.15,1.82,0.0,0.0,254.1,-5.67,4.0
264,-3.38,1.74,0.0,0.0,250.51,-5.86,4.0
265,-3.56,1.69,0.0,0.0,250.47,-5.89,4.0
266,-3.7,1.67,0.0,0.0,250.47,-5.9,2.0
267,-3.83,1.67,0.0,0.0,250.41,-5.98,2.0
268,-3.94,1.7,0.0,0.0,250.36,-6.05,2.0
269,-4.02,1.73,0.0,0.0,250.44,-6.01,2.0
270,-4.08,1.77,0.0,0.0,250.75,-5.74,2.0
271,-4.1,1.8,0.0,0.0,251.42,-5.14,2.0
272,-3.9,1.83,70.99,45.16,252.54,-4.1,3.0
273,-3.52,1.85,69.07,69.07,254.17,-2.56,3.0
274,-3.05,1.86,116.66,116.66,256.11,-0.71,3.0
275,-2.51,1.86,152.96,152.96,258.09,1.19,3.0
276,-1.92,1.86,169.94,169.94,259.87,2.91,3.0
277,-1.31,1.87,163.79,163.79,261.17,4.2,3.0
278,-0.7,1.9,472.8,300.78,261.75,4.8,4.0
279,-0.3,1.94,92.48,92.48,261.45,4.56,4.0
280,-0.36,1.94,149.65,95.2,260.46,3.63,4.0
281,-0.53,1.96,0.0,0.0,259.01,2.26,4.0
282,-0.78,1.99,0.0,0.0,257.38,0.71,4.0
283,-1.08,2.04,0.0,0.0,255.81,-0.8,4.0
284,-1.4,2.09,0.0,0.0,254.57,-2.0,3.0
285,-1.71,2.15,0.0,0.0,253.86,-2.72,3.0
286,-2.01,2.2,0.0,0.0,253.59,-3.03,3.0
287,-2.28,2.25,0.0,0.0,253.61,-3.06,3.0
288,-2.53,2.26,0.0,0.0,257.01,-2.94,3.0
289,-2.74,2.26,0.0,0.0,257.17,-2.81,3.0
290,-2.9,2.22,0.0,0.0,257.19,-2.8,0.0
291,-3.02,2.14,0.0,0.0,256.97,-2.99,0.0
