GloHorzRad,DifHorzRad,DryBulb
0,0,-6.139999866
0,0,-6.119999886
0,0,-6.199999809
0,0,-6.400000095
0,0,-6.760000229
0,0,-7.239999771
0,0,-7.789999962
0,0,-8.369999886
0,0,-8.920000076
0,0,-9.399999619
0,0,-9.770000458
0,0,-10.02000046
0,0,-10.18999958
0,0,-10.27000046
0,0,-10.30000019
72.55000305,7.079999924,-9.800000191
226.4799957,22.10000038,-9.229999542
376.3500061,36.72999954,-8.829999924
490.4200134,47.86000061,-8.510000229
543.75,53.06000137,-8.18999958
524.5,51.18000031,-7.78000021
436.9500122,42.63999939,-7.199999809
300.4200134,29.31999969,-6.480000019
144.3500061,14.09000015,-6.099999905
0.899999976,0.090000004,-6.409999847
0,0,-7.179999828
0,0,-8.18999958
0,0,-9.199999809
0,0,-10.02999973
0,0,-10.68000031
0,0,-11.17000008
0,0,-11.52999973
0,0,-11.78999996
0,0,-12
0,0,-12.17000008
0,0,-12.31000042
0,0,-12.40999985
0,0,-12.47999954
0,0,-12.5
43.20999908,7.630000114,-12.39999962
227.2799988,24.29000092,-11.97999954
376.3800049,40.22999954,-11.30000019
489.8099976,52.34999847,-10.46000004
542.8200073,58.02000046,-9.569999695
523.6900024,55.97000122,-8.75
436.6700134,46.66999817,-8.100000381
300.8900146,32.15999985,-7.71999979
145.5500031,15.56000042,-7.599999905
2.579999924,0.280000001,-7.659999847
0,0,-7.800000191
0,0,-7.929999828
0,0,-8
0,0,-7.949999809
0,0,-7.869999886
0,0,-7.840000153
0,0,-7.96999979
0,0,-8.350000381
0,0,-9.100000381
0,0,-10.23999977
0,0,-11.57999992
0,0,-12.85999966
0,0,-13.81999969
0,0,-14.19999981
75.94000244,7.809999943,-13.39999962
229.4900055,23.61000061,-11.84000015
378.6900024,38.95999908,-9.960000038
492.1499939,50.63000107,-7.980000019
545.1599731,56.09000015,-6.119999886
526.039978,54.11999893,-4.590000153
439.019989,45.16999817,-3.599999905
303.1799927,31.19000053,-3.299999952
147.6699982,15.18999958,-3.480000019
4.329999924,0.449999988,-4
0,0,-4.840000153
0,0,-5.980000019
0,0,-7.400000095
0,0,-9
0,0,-10.34000015
0,0,-10.89999962
0,0,-9.739999771
0,0,-7.199999809
0,0,-4.699999809
0,0,-3.349999905
0,0,-3.089999914
0,0,-3.579999924
0,0,-4.440000057
0,0,-5.329999924
44.59999847,8.880000114,-5.900000095
229.9900055,28.62999916,-5.869999886
378.1700134,47.08000183,-5.329999924
490.7799988,61.09999847,-4.429999828
543.3900146,67.65000153,-3.359999895
524.4299927,65.29000092,-2.25999999
438.0700073,54.54000092,-1.299999952
303.2099915,37.75,-0.800000012
85.73999786,17.07999992,-0.970000029
6.079999924,0.75999999,-1.409999967
0,0,-2.019999981
0,0,-2.720000029
0,0,-3.400000095
0,0,-4
0,0,-4.53000021
0,0,-5.039999962
0,0,-5.570000172
0,0,-6.179999828
0,0,-6.900000095
0,0,-7.75
0,0,-8.630000114
0,0,-9.420000076
0,0,-9.979999542
0,0,-10.19999981
76.18000031,16.52000046,-8.800000191
130.9299927,130.9299927,-6.730000019
365.1799927,79.22000122,-4.769999981
487.1000061,67.37000275,-2.960000038
523.75,113.6100006,-1.389999986
520.3400269,71.97000122,-0.109999999
435.0599976,60.16999817,0.800000012
301.8200073,41.74000168,1.200000048
149.0500031,20.61000061,0.779999971
7.820000172,1.080000043,-0.25999999
0,0,-1.559999943
0,0,-2.789999962
0,0,-3.599999905
0,0,-3.74000001
0,0,-3.369999886
0,0,-2.730000019
0,0,-2.089999914
0,0,-1.700000048
0,0,-1.799999952
0,0,-2.559999943
0,0,-3.74000001
0,0,-4.989999771
0,0,-5.989999771
0,0,-6.400000095
83.09999847,8.340000153,-3.799999952
239.3200073,24.01000023,-1.190000057
390.6600037,39.18999863,0.039999999
505.5499878,50.72000122,0.310000002
559.210022,56.09999847,0.050000001
539.8900146,54.15999985,-0.330000013
451.8299866,45.33000183,-0.400000006
314.1900024,31.52000046,0.059999999
156.2400055,15.67000008,0.400000006
10,1,0.140000001
0,0,-0.439999998
0,0,-1.049999952
0,0,-1.399999976
0,0,-1.399999976
0,0,-1.559999943
0,0,-2
0,0,-2.660000086
0,0,-3.50999999
0,0,-4.5
0,0,-5.579999924
0,0,-6.679999828
0,0,-7.690000057
0,0,-8.520000458
0,0,-9.090000153
85.51999664,8.569999695,-9.300000191
242.4400024,24.29999924,-9.5
394.2900085,39.52000046,-9.199999809
509.5100098,51.06000137,-8.319999695
563.3099976,56.45999908,-7.130000114
543.9500122,54.52000046,-5.900000095
455.6600037,45.66999817,-4.900000095
317.6000061,31.82999992,-4.349999905
159.0399933,15.93999958,-4.21999979
12.01000023,1.200000048,-4.429999828
0,0,-4.889999866
0,0,-5.510000229
0,0,-6.199999809
0,0,-6.900000095
0,0,-7.559999943
0,0,-8.180000305
0,0,-8.739999771
0,0,-9.220000267
0,0,-9.600000381
0,0,-9.869999886
0,0,-10.03999996
0,0,-10.14000034
0,0,-10.18999958
0,0,-10.19999981
50.52999878,10.02000046,-8
248.6000061,30.76000023,-5.550000191
402.8200073,49.84000015,-3.980000019
519.7600098,64.30999756,-3
574.3599854,71.05999756,-2.299999952
554.710022,68.62999725,-1.570000052
465.1199951,57.54999924,-0.5
184.3600006,36.54999924,0.5
163.8699951,20.27000046,0.189999998
8.079999924,1.600000024,-0.629999995
0,0,-1.75999999
0,0,-3.00999999
0,0,-4.199999809
0,0,-5.170000076
0,0,-5.960000038
0,0,-6.619999886
0,0,-7.21999979
0,0,-7.829999924
0,0,-8.5
0,0,-9.279999733
0,0,-10.07999992
0,0,-10.80000019
0,0,-11.31000042
0,0,-11.5
50.77999878,12.35999966,-11.30000019
268.7099915,42.72000122,-10.10000038
433.7600098,68.95999908,-7.96999979
290.2200012,70.63999939,-5.239999771
617.2399902,98.12999725,-2.25999999
309.6400146,75.37000275,0.629999995
500.4299927,79.55999756,3.099999905
350.480011,55.72000122,4.400000095
177.9700012,28.29000092,3.960000038
9.090000153,2.210000038,2.829999924
0,0,1.289999962
0,0,-0.379999995
0,0,-1.899999976
0,0,-3.049999952
0,0,-3.869999886
0,0,-4.480000019
0,0,-4.980000019
0,0,-5.480000019
0,0,-6.099999905
0,0,-6.900000095
0,0,-7.769999981
0,0,-8.579999924
0,0,-9.170000076
0,0,-9.399999619
72.69000244,29.71999931,-7.5
384.1900024,109.9100037,-5.099999905
316.4200134,129.3699951,-3.200000048
239.1100006,239.1100006,-1.700000048
449.3599854,183.7200012,-0.479999989
434.1499939,177.5,0.579999983
214.25,214.25,1.600000024
256.0700073,104.6900024,2.299999952
76.91000366,76.91000366,1.789999962
14.35999966,5.869999886,0.5
0,0,-1.25
0,0,-3.089999914
0,0,-4.699999809
0,0,-5.800000191
0,0,-6.449999809
0,0,-6.769999981
0,0,-6.880000114
0,0,-6.920000076
0,0,-7
0,0,-7.21999979
0,0,-7.53000021
0,0,-7.849999905
0,0,-8.100000381
0,0,-8.199999809
72.41000366,31.56999969,-6.599999905
113.4100037,113.4100037,-4.550000191
309.3299866,134.8600006,-2.900000095
397.3299866,173.2200012,-1.600000024
667.3599854,208.3699951,-0.579999983
423.6300049,184.6900024,0.230000004
209.2700043,209.2700043,0.899999976
147.2700043,147.2700043,1.299999952
75.83000183,75.83000183,1.029999971
9.159999847,9.159999847,0.319999993
0,0,-0.660000026
0,0,-1.75
0,0,-2.799999952
0,0,-3.670000076
0,0,-4.360000134
0,0,-4.909999847
0,0,-5.340000153
0,0,-5.699999809
0,0,-6
0,0,-6.28000021
0,0,-6.53000021
0,0,-6.71999979
0,0,-6.849999905
0,0,-6.900000095
100.9400024,8.909999847,-5
265.1799927,23.42000008,-2.950000048
423.25,37.38000107,-1.720000029
542.8300171,47.93999863,-0.970000029
598.5999756,52.86999893,-0.389999986
578.5700073,51.09999847,0.360000014
487.0400085,43.02000046,1.600000024
343.6000061,30.35000038,2.799999952
178.1499939,15.72999954,2.410000086
23.5,2.079999924,1.419999957
0,0,0.109999999
0,0,-1.25
0,0,-2.400000095
0,0,-3.130000114
0,0,-3.529999971
0,0,-3.789999962
0,0,-4.050000191
0,0,-4.5
0,0,-5.300000191
0,0,-6.539999962
0,0,-8.010000229
0,0,-9.420000076
0,0,-10.47999954
0,0,-10.89999962
78.43000031,29.79000092,-9.800000191
119.2799988,119.2799988,-7.940000057
322.8900146,122.6299973,-5.900000095
428.480011,111.7399979,-3.789999962
455.7200012,173.0700073,-1.730000019
456.5299988,119.0500031,0.170000002
384.7000122,100.3199997,1.799999952
272.0700073,70.94999695,2.700000048
137.0700073,52.04999924,2.349999905
11.51000023,11.51000023,1.419999957
0,0,0.050000001
0,0,-1.610000014
0,0,-3.400000095
0,0,-5.050000191
0,0,-5.800000191
0,0,-5.480000019
0,0,-4.730000019
0,0,-3.799999952
0,0,-3
0,0,-2.519999981
0,0,-2.269999981
0,0,-2.089999914
0,0,-1.789999962
0,0,-1.220000029
98.94000244,21.07999992,-0.200000003
148.3500061,148.3500061,1.350000024
400.0400085,85.20999908,3.160000086
526.8300171,71.25,4.889999866
563.4299927,120.0100021,6.190000057
